,FragmentID, SessionEndDate,Tono emocional,¿Cuándo sucedieron,¿La experiencia que compartiste es?,¿Qué tan común?,¿Por cuánto tiempo?,¿Quién crees que debe saber sobre esta historia?,¿En cuántos colegios/escuelas has estado?,Edad,Grado,Institucion Educativa Distrital,Género,FragmentEntry,StoryTitle,Temas,Familia,EstudiosAcudiente,Describe algo que es…,Sentí que tuve…,Las materias en clase...,El aprendizaje aplicado...,El aprendizaje por descubrimiento...,El auto-aprendizaje...,AreaLaHistoriaInvolucra,AreaEstaHistoriaMeEnseño,AreaLaLeccionImpactoEn,AreaEsImportante
0,841120e2-ec20-4f5b-984b-49bf1940c7e6,2019/07/16 13:39:39.341,Triste,No se,Una opinión,Común,Por algun tiempo,Los profesores y las directivas,En más de 4,15,10,6. Camilo Mora,femenino,parece colegio bueno aparatos necesita computadores televisores etc buen establecimiento estudiantes parecen demasiado indisciplinados irrespetuoso varias ocasiones,apariencia excelente colegio,Educación / aprendizaje,"mamá,Hermanos","Bachiller,Pregrado (profesional)",Pasa frecuentemente,Total control,Me interesa poco / Importa mucho para mi futuro,Me interesa poco / Importa mucho para mi futuro,Me interesa poco / Importa mucho para mi futuro,Me interesa mucho / Importa mucho para mi futuro,Profesores,Importancia de experimentar,Oportunidades futuro,Trabajar en equipo
1,3594641d-b693-47c1-9a69-0b7ef1922cc7,2019/07/16 13:30:25.864,Indiferente,Hace dos años,Una opinión,Pasa todo el tiempo,Por algun tiempo,Los profesores y las directivas,En 2,13,8,6. Camilo Mora,femenino,verdad colegio ocasiones pasamos bien mal buena relacion maestros estudiantes negativos saludar ser amigos deberiamos tratar manejar situacion,amistad maestros estudiantes,"Relación con los compañeros,Relación con los profesores","mamá,Hermanos",Pregrado (profesional),,Absolutamente ningun control,Me interesa mucho / Importa mucho para mi futuro,Me interesa poco / Importa poco para mi futuro,Me interesa mucho / Importa mucho para mi futuro,Me interesa poco / Importa mucho para mi futuro,Profesores,Nuevas conocimientos habilidades,Relación demás,Comprender a los otros
2,5f8e38a2-9bbb-4ef9-8c52-0f9aac03bb22,2019/07/23 15:05:32.089,Feliz,Hace más de dos años,Experiencia personal,Pasa una vez cada tanto,Por siempre,Nadie,En 2,13,8,3. Bello Oriente,masculino,primer dia llege colegio primer dia vine institucion miedo amigos trataran mal creyeran seria amigo per pasaron dias luego volvi amigo despues amigos volvimos amigos empesamos jugar futbol ses mas gusta pasaron años sigo conviviendo,titular seria,Relación con los compañeros,mamá,No tiene educación formal,Pasa todo el tiempo,Total control,Me interesa poco / Importa poco para mi futuro,Me interesa poco / Importa mucho para mi futuro,Me interesa mucho / Importa poco para mi futuro,Me interesa poco / Importa poco para mi futuro,,Importancia de experimentar,Relación demás,Trabajar en equipo
3,ad431439-bf4e-4a48-9d9f-f1f6e91ba406,2019/08/06 15:22:08.464,Muy Feliz,Siempre,Experiencia personal,Común,Por siempre,Los compañeros,En más de 4,16,10,2.Álvaro Marín Velasco,masculino,colegio buenopor buen nivel academico disciplinario brindan mucha ayudaexplican bien clases dinámicas aburren dan apoyo animo salir adelante,futuro,Educación / aprendizaje,otros familiares,Pregrado (profesional),Novedoso,,Me interesa poco / Importa poco para mi futuro,Me interesa poco / Importa mucho para mi futuro,Me interesa mucho / Importa poco para mi futuro,Me interesa poco / Importa poco para mi futuro,Profesores,Importancia de experimentar,Oportunidades futuro,Trabajar en equipo/Ser el mejor
4,01c6237d-a62f-403c-a04e-c546216f4db9,2019/07/24 14:16:58.041,Feliz,Siempre,Una opinión,Común,Por mucho tiempo,Todo el mundo,Sólo en este,13,7,7. Jesús Amigo,masculino,estudio acá toda vida parecido colegio diferente demás colegio colegio puertas abiertas mundo puede entrar ningún permiso aunque creo negativo falta ladrón ponga robar estudiantes loslas profes etc,experiencia colegio jesus amigo,La seguridad en el colegio,"mamá,Hermanos",Pregrado (profesional),Pasa todo el tiempo,,,Me interesa poco / Importa poco para mi futuro,Me interesa poco / Importa mucho para mi futuro,Me interesa mucho / Importa mucho para mi futuro,Profesores,Importancia de experimentar,Entender sucede alrededor,Comprender a los otros
5,f36f4542-dd08-45b2-bb6f-c9a09612affc,2019/07/24 14:29:00.765,Muy Feliz,Hace un año,Experiencia personal,Muy rara y única,Por siempre,Los profesores y las directivas,En 2,12,6,7. Jesús Amigo,masculino,colegio bueno recocho amigos juego basqueball benitez divierto salida mantengo bien colegio,mjor colegio,Relación con los compañeros,otros familiares,Técnico,Completamente novedoso,Total control,Me interesa poco / Importa mucho para mi futuro,Me interesa mucho / Importa mucho para mi futuro,Me interesa poco / Importa mucho para mi futuro,Me interesa mucho / Importa poco para mi futuro,Familia comunidad amigos,Nuevas conocimientos habilidades,Oportunidades futuro,Trabajar en equipo
6,849e73fc-e829-456c-9dbf-166d2aca8ba3,2019/08/01 15:49:31.911,Muy Feliz,Siempre,Una opinión,Pasa todo el tiempo,Por algun tiempo,Los profesores y las directivas,En 2,16,11,10. Rodrigo Correa Palacio,masculino,colegio cambio viejosen colegio jugador microfutbol intercolegiados gustaria implementaran nuevos materiales deportivos viejos desechables,reparador rcp jigador rcp,Tecnología,otros,Postgrado (especialización maestría),Pasa todo el tiempo,Total control,Me interesa poco / Importa mucho para mi futuro,Me interesa poco / Importa mucho para mi futuro,Me interesa poco / Importa mucho para mi futuro,Me interesa poco / Importa mucho para mi futuro,Familia comunidad amigos/Profesores,Importancia de experimentar,Entender sucede alrededor,Comprender a los otros
7,e684a0a2-fa2b-47fe-8215-913adddac148,2019/07/16 15:52:08.230,Indiferente,No se,Una experiencia que alguien te compartió,Común,Por mucho tiempo,Los profesores y las directivas,En 2,12,6,6. Camilo Mora,femenino,vida mia escolar sido importante unas ocaciones sido poca aburridor bueno chevere,historia vida,Educación / aprendizaje,"Papá,mamá,Hermanos",Bachiller,,,,,Me interesa mucho / Importa mucho para mi futuro,,A mi,,Entender sucede alrededor,Comprender a los otros
8,db40b81e-a36e-4cbb-90a1-4b2cf7a2dfb0,2019/07/15 16:09:22.576,Muy Feliz,No se,Una experiencia que alguien te compartió,Muy rara y única,Por siempre,Nadie,En 2,8,3,11. San Benito,femenino,lloantes bibiaen benesuela imimama desidio benricepara colanbia prolasituasion mipais ycuando bine mecentifeliz imedieron elaopllode estudira erprolloer ylarretora,siento feliz demipais,Relación con la familia,"mamá,Hermanos,otros familiares",Pregrado (profesional),Pasa todo el tiempo,Poco control,Me interesa mucho / Importa poco para mi futuro,Me interesa mucho / Importa mucho para mi futuro,,Me interesa mucho / Importa mucho para mi futuro,Neutro,Comprender como son cosas,Entender sucede alrededor,Trabajar en equipo
9,bd3cdc71-f66d-49e9-9fbd-0abf7faec2d8,2019/07/18 13:29:39.888,Indiferente,No se,Una opinión,Común,Por algun tiempo,Nadie,En 2,13,7,9. Reino de Bélgica,femenino,positivo colegio encañan cosas nuevas nunca aviamos visto hacen divirtamos actividades asen enseñan hacer mejor colaborar respetar etc profesores buenos matemáticas casi entendemos explica,nueva vida,La seguridad en el colegio,"Papá,mamá,Hermanos","Primaria,Bachiller",,Total control,Me interesa poco / Importa poco para mi futuro,Me interesa poco / Importa mucho para mi futuro,Me interesa poco / Importa mucho para mi futuro,Me interesa poco / Importa poco para mi futuro,Profesores,Nuevas conocimientos habilidades/Importancia de experimentar,Relación demás/Entender sucede alrededor,Trabajar en equipo
